Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;5.5;4.0;5.8;12.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.2
1965;3.9;2.1;10.4;1.9;1.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;20.1
1966;10.6;0.7;7.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;1.1;4.0;23.5
1967;9.1;10.1;5.9;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;4.1;29.5
1968;3.6;0.0;5.4;0.1;0.1;0.0;0.0;0.0;0.2;0.0;0.0;0.0;9.4
1969;2.2;7.1;4.6;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.9;0.0;15.0
1970;17.3;6.0;7.2;0.3;0.0;0.0;0.0;0.0;1.3;0.1;3.0;0.0;35.2
1971;0.2;14.5;13.3;0.1;0.2;0.0;0.0;0.0;0.0;0.1;0.0;1.0;29.4
1972;4.3;10.3;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.2
1973;13.3;0.0;11.9;0.1;0.0;0.0;0.0;0.1;0.7;1.8;0.0;0.2;28.1
1974;1.8;1.8;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;5.7
1975;6.0;4.9;4.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;4.4;19.4
1976;3.8;43.8;1.5;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7;52.5
1977;1.2;10.8;9.5;0.0;0.1;0.0;0.0;0.0;0.2;0.0;0.1;2.3;24.2
1978;0.5;0.1;18.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
1979;1.7;0.1;10.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;12.6
1980;0.9;0.0;17.6;3.5;0.1;0.0;0.0;0.0;0.0;0.5;0.0;0.1;22.7
1981;4.4;3.5;1.9;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;10.4
1982;19.8;15.0;6.8;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;42.7
1983;0.1;8.7;14.5;16.8;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.6;40.8
1984;0.0;6.4;6.0;0.0;0.3;0.0;0.0;0.0;0.0;0.5;0.0;3.1;16.3
1985;0.8;0.0;3.2;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1
1986;1.1;0.2;1.3;0.1;0.0;0.0;0.0;0.0;0.0;1.6;0.1;30.0;34.4
1987;6.5;1.5;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;10.0
1988;14.5;6.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;22.2
1989;4.9;13.1;9.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.3
1990;4.6;0.0;4.7;0.0;0.9;0.1;0.0;0.0;0.0;0.3;1.0;3.2;14.8
1991;0.3;2.9;7.8;1.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.5;14.0
1992;0.3;2.9;1.5;0.3;0.8;0.0;0.0;0.4;0.0;0.0;0.0;1.4;7.6
1993;0.0;1.3;5.5;2.8;0.0;0.0;0.0;0.0;0.2;0.0;1.8;3.0;14.6
1994;22.7;9.7;5.0;2.5;0.4;0.0;0.0;0.0;1.0;0.0;0.4;2.3;44.0
1995;9.5;0.5;2.5;2.0;2.2;0.0;0.0;0.0;0.5;0.3;2.1;0.0;19.6
1996;6.0;8.0;18.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;32.8
1997;0.9;4.5;0.9;0.0;0.0;0.0;0.2;0.0;0.0;0.3;0.1;0.0;6.9
1998;13.5;12.9;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.8
1999;7.5;32.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.6
2000;20.7;8.1;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0
2001;6.2;7.2;10.7;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;25.7
2002;1.6;30.7;1.6;0.0;0.0;0.0;0.6;0.0;0.5;0.0;0.0;0.0;35.0
2003;1.5;10.3;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8;21.5
2004;0.8;0.6;1.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;5.5
2005;2.3;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;5.9
2006;9.4;9.0;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;29.3
2007;2.2;3.0;2.8;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.7
2008;7.3;12.1;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.9
2009;8.2;24.3;17.8;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.9
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
