Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;108.5;69.4;110.3;32.8;3.2;0.0;0.0;0.0;0.0;9.7;16.3;71.1;421.3
1965;23.6;155.2;86.1;2.2;0.0;0.0;0.0;0.1;0.0;18.6;1.6;8.2;295.6
1966;85.6;39.5;46.0;40.5;0.9;0.0;0.0;0.0;0.3;0.1;15.2;6.5;234.6
1967;48.0;186.5;133.0;26.4;0.9;0.0;0.0;0.2;0.0;0.1;4.1;46.5;445.7
1968;38.5;19.1;23.2;6.3;0.0;0.0;0.0;0.0;1.5;6.0;5.5;13.3;113.4
1969;5.5;58.5;53.9;22.3;0.0;0.0;0.0;0.0;0.4;0.8;6.7;18.3;166.4
1970;152.9;41.9;14.7;38.9;27.1;0.0;0.0;0.1;0.0;2.7;3.0;9.5;290.8
1971;44.6;61.0;113.9;44.7;10.6;0.0;0.0;0.0;0.0;0.4;4.0;30.1;309.3
1972;110.7;130.6;190.7;35.4;0.0;0.0;0.0;0.0;0.0;3.0;1.6;6.9;478.9
1973;172.8;60.5;110.1;45.1;1.8;0.0;0.0;0.0;0.0;0.4;5.3;20.6;416.6
1974;82.6;73.7;70.2;43.9;20.1;0.0;0.0;0.0;0.1;3.2;1.4;2.1;297.3
1975;18.6;72.5;117.1;16.5;0.2;0.0;0.0;0.0;0.0;8.2;0.2;15.5;248.8
1976;61.6;124.2;84.5;4.9;0.0;0.0;0.0;0.0;0.3;0.1;0.5;24.5;300.6
1977;47.3;185.0;189.4;45.0;0.1;0.0;0.0;0.0;0.4;2.5;77.6;54.2;601.5
1978;19.7;24.4;39.7;7.6;0.0;0.0;0.0;0.0;1.0;0.7;3.0;8.7;104.8
1979;19.7;53.0;85.3;11.5;0.0;0.0;0.0;0.0;0.0;42.0;0.9;22.8;235.2
1980;76.4;20.6;48.9;20.3;0.0;0.0;0.0;0.0;0.1;37.9;17.7;10.6;232.5
1981;86.3;138.9;131.2;23.3;0.0;0.0;0.0;0.5;0.0;7.5;16.0;29.5;433.2
1982;62.5;72.6;39.8;29.5;0.0;0.0;0.0;0.5;0.0;15.6;29.2;3.1;252.8
1983;54.4;62.9;158.9;52.4;1.0;0.0;0.0;0.0;1.2;2.1;4.3;43.0;380.2
1984;76.7;276.3;72.3;38.2;3.4;0.0;0.0;0.0;0.0;29.7;34.2;47.4;578.2
1985;21.2;112.6;127.1;44.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.6;324.3
1986;121.8;86.7;87.6;39.9;3.9;0.0;0.0;0.0;0.0;0.0;12.4;26.5;378.8
1987;100.8;33.2;42.4;10.3;0.0;0.0;0.0;0.0;4.1;4.0;13.9;12.9;221.6
1988;104.9;48.5;57.0;41.2;6.0;0.0;0.0;0.0;0.0;0.0;4.0;46.4;308.0
1989;101.2;189.2;134.2;5.1;0.0;1.1;0.0;0.0;0.9;15.1;0.0;0.0;446.8
1990;25.2;28.7;35.9;0.0;2.1;0.0;0.0;0.0;0.0;16.0;15.2;77.1;200.2
1991;16.9;47.6;98.8;4.0;2.0;0.0;0.0;0.0;0.0;17.1;6.0;2.4;194.8
1992;18.7;14.9;59.6;1.9;0.0;0.0;0.0;0.0;0.0;1.2;0.0;5.3;101.6
1993;35.6;99.6;152.7;21.0;0.0;0.0;0.0;0.0;0.0;5.1;18.2;30.7;362.9
1994;53.8;81.5;83.2;27.3;2.3;0.0;0.0;0.0;0.0;3.9;5.6;20.1;277.7
1995;35.8;39.9;48.8;24.1;4.0;0.0;0.0;0.0;1.4;4.8;26.0;29.8;214.6
1996;64.9;107.0;104.5;15.1;0.0;0.0;0.0;0.0;0.0;1.0;0.5;17.7;310.7
1997;58.6;68.8;10.2;5.6;0.0;0.0;0.0;0.0;6.5;4.5;35.6;105.7;295.5
1998;120.3;130.3;162.9;20.4;0.4;0.0;0.0;0.0;0.1;4.3;5.8;25.2;469.7
1999;50.5;238.8;80.1;30.7;3.7;0.0;0.0;0.0;2.9;15.7;3.2;20.9;446.5
2000;96.7;179.6;74.6;9.6;1.8;0.0;0.0;0.0;0.5;7.6;2.0;25.2;397.6
2001;119.0;80.9;115.9;30.5;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;369.3
2002;13.4;75.9;67.5;40.2;0.5;0.0;0.0;0.0;3.6;3.7;23.0;10.8;238.6
2003;28.8;53.0;47.4;21.6;0.0;0.0;0.0;0.0;0.0;0.2;1.4;88.0;240.4
2004;8.5;91.5;52.5;33.9;0.0;0.1;0.0;0.0;2.4;2.7;8.3;32.7;232.6
2005;38.4;35.8;42.0;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.1;171.4
2006;76.6;86.9;98.7;29.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7;37.1;334.0
2007;53.8;37.9;124.1;31.1;0.0;0.0;0.0;0.0;0.0;0.0;5.8;11.3;264.0
2008;94.4;105.4;162.8;22.2;0.0;0.0;0.0;0.0;0.0;0.0;4.9;19.6;409.3
2009;120.7;154.8;186.0;41.7;1.8;0.0;0.0;0.0;0.3;18.4;19.0;8.9;551.6
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
