Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;35.2;34.1;65.5;9.1;0.2;0.0;0.0;0.0;0.0;0.7;8.1;14.4;167.3
1965;36.5;94.9;11.4;14.1;1.8;0.0;0.1;0.0;6.7;5.2;1.7;9.4;181.8
1966;18.3;28.0;68.4;29.1;1.7;0.0;0.0;0.0;1.3;4.4;5.5;1.6;158.3
1967;6.8;112.7;77.1;2.8;28.0;0.0;0.2;0.0;0.5;2.1;1.5;12.3;244.0
1968;11.5;0.4;8.0;1.5;0.0;0.0;0.0;0.0;0.1;5.5;8.0;0.5;35.5
1969;1.9;36.5;5.2;1.4;0.0;0.0;0.0;0.0;0.1;4.5;3.2;16.4;69.2
1970;73.7;18.8;9.1;3.7;2.6;0.0;0.0;0.0;2.0;18.0;2.7;8.7;139.3
1971;1.6;12.9;59.7;18.4;0.6;0.0;0.0;0.0;1.0;2.4;2.4;25.3;124.3
1972;45.2;61.8;147.2;27.0;0.0;0.0;0.0;0.0;0.3;0.1;0.6;9.0;291.2
1973;62.5;140.0;154.7;7.1;23.9;0.0;0.0;0.0;6.9;2.5;2.8;13.6;414.0
1974;12.8;43.8;71.8;11.3;0.0;0.0;0.0;0.0;1.3;4.4;0.8;3.3;149.5
1975;39.6;47.8;66.4;9.4;1.3;0.0;0.0;0.0;0.1;3.0;6.2;52.0;225.8
1976;38.4;46.5;62.5;9.5;0.0;0.0;0.0;0.0;0.3;1.2;0.0;1.4;159.8
1977;33.9;57.9;168.6;25.4;0.6;0.0;0.0;0.0;0.0;0.1;51.0;11.9;349.4
1978;19.0;10.1;29.3;3.1;0.1;0.0;0.0;0.0;2.1;3.3;4.9;15.5;87.4
1979;15.8;24.0;45.9;25.4;0.0;0.0;0.0;0.6;11.8;3.2;4.1;13.4;144.2
1980;47.9;0.3;35.1;7.3;0.8;0.0;0.0;0.0;0.3;17.9;5.9;1.1;116.6
1981;36.4;69.8;103.8;23.3;0.1;0.4;0.1;5.1;3.2;11.0;13.9;19.4;286.5
1982;43.0;49.6;6.0;20.9;0.4;0.0;0.3;2.0;0.0;10.3;10.1;0.5;143.1
1983;9.3;27.0;108.6;17.2;0.0;0.0;0.0;0.0;0.9;5.5;5.8;26.7;201.0
1984;31.5;146.8;35.1;19.0;1.9;0.0;0.0;0.0;0.0;4.1;18.7;31.4;288.5
1985;5.4;24.1;6.2;14.7;0.0;0.0;0.0;0.0;0.2;2.7;0.0;7.7;61.0
1986;21.9;30.5;43.3;14.3;6.6;0.0;0.0;0.0;4.8;0.0;0.0;14.0;135.4
1987;35.5;26.8;50.4;19.2;5.4;0.0;0.0;0.0;0.0;0.0;4.8;11.6;153.7
1988;46.5;34.4;36.6;5.9;1.0;0.0;0.0;0.0;0.0;1.7;0.9;21.9;148.9
1989;49.9;143.6;61.2;4.4;0.0;0.0;0.0;0.0;0.0;6.1;0.0;2.4;267.6
1990;26.8;5.1;20.0;1.6;0.0;0.0;0.0;0.0;0.0;4.4;16.5;44.1;118.5
1991;4.5;15.6;96.1;0.0;0.0;0.0;0.0;0.0;0.0;8.9;10.7;4.2;140.0
1992;1.0;1.7;8.8;0.0;0.0;0.0;0.0;0.0;0.0;2.8;0.9;1.4;16.6
1993;37.3;82.4;76.9;14.7;1.3;0.0;0.0;0.0;2.9;10.5;16.3;19.0;261.3
1994;52.9;49.4;36.0;10.5;2.7;0.0;0.0;0.0;4.2;3.3;6.6;16.0;181.6
1995;25.5;24.5;49.2;9.1;3.9;0.0;0.0;0.0;2.5;5.8;16.3;22.2;159.0
1996;54.8;72.0;86.2;12.2;0.7;0.0;0.0;0.0;0.6;1.6;0.6;7.7;236.4
1997;15.8;32.7;6.7;0.2;0.1;0.0;0.0;0.4;7.5;5.7;15.2;54.8;139.1
1998;113.2;152.4;142.2;7.9;0.0;0.0;0.0;0.0;0.7;1.1;5.9;16.8;440.2
1999;89.7;185.6;64.9;21.9;0.4;0.0;0.0;0.1;1.8;11.0;2.6;19.4;397.4
2000;58.6;90.2;58.3;5.5;1.3;0.0;0.0;0.0;1.1;9.1;2.3;21.7;248.1
2001;50.3;79.5;122.2;15.8;0.0;0.0;0.0;0.0;2.1;2.2;12.5;0.1;284.7
2002;9.4;47.9;43.5;29.3;1.2;0.0;0.0;0.0;1.1;4.7;10.1;2.7;149.9
2003;33.9;41.4;59.0;8.6;0.0;0.0;0.0;0.0;0.0;0.2;0.7;80.2;224.0
2004;13.8;51.7;37.8;13.0;0.0;0.0;0.0;0.0;1.3;1.8;8.4;38.0;165.8
2005;41.9;38.4;52.6;4.9;0.0;0.0;0.0;0.0;0.0;1.7;0.6;42.6;182.7
2006;49.8;103.0;84.3;31.3;0.0;0.0;0.0;0.0;2.7;1.3;4.3;29.3;306.0
2007;32.7;43.6;79.4;49.4;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;206.4
2008;62.2;121.1;63.8;1.3;0.0;0.0;0.0;0.0;0.0;0.0;11.6;15.1;275.1
2009;88.1;112.8;75.8;24.5;0.0;0.0;0.0;0.0;0.0;8.5;15.3;8.5;333.5
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
