Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;115.5;43.1;92.4;19.3;0.0;0.0;0.0;0.0;0.0;11.6;0.1;98.5;380.5
1965;100.6;77.1;39.8;28.8;0.0;0.0;0.0;0.0;0.0;67.9;0.3;35.1;349.6
1966;78.2;62.1;73.7;165.5;0.0;0.0;0.0;0.0;0.0;19.8;2.6;70.9;472.8
1967;67.9;203.1;79.0;3.4;0.0;0.0;0.0;0.0;0.0;1.7;0.2;4.8;360.1
1968;14.4;0.6;4.3;0.3;0.0;0.0;0.0;0.0;0.0;0.3;1.4;0.2;21.5
1969;2.4;41.7;25.6;1.2;0.0;0.0;0.0;0.0;0.0;29.9;0.3;85.9;187.0
1970;227.9;219.2;6.5;0.9;0.0;0.0;0.0;0.0;0.0;2.2;0.0;8.4;465.1
1971;14.0;13.4;103.7;43.3;3.4;0.0;0.0;0.0;0.0;1.5;0.7;20.9;200.9
1972;84.5;23.4;208.6;3.5;0.1;0.0;0.0;0.0;1.6;0.4;0.5;7.6;330.2
1973;122.0;41.9;81.8;42.3;3.7;0.0;0.0;0.0;0.6;2.6;3.5;18.9;317.3
1974;43.6;10.8;118.9;19.2;0.1;0.0;0.0;0.0;0.0;0.5;10.8;22.2;226.1
1975;8.3;40.2;137.0;44.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.7;241.6
1976;57.7;8.5;54.3;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9;133.4
1977;41.3;34.3;159.4;113.7;0.0;0.0;0.0;0.0;0.0;0.0;19.7;39.4;407.8
1978;44.7;226.0;31.4;0.5;0.1;0.0;0.0;0.0;0.3;0.1;0.1;17.6;320.8
1979;1.9;51.9;74.7;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.1;151.7
1980;38.9;78.5;19.5;2.6;0.0;0.0;0.0;0.0;0.1;7.6;4.2;3.9;155.3
1981;42.6;105.8;95.0;21.3;0.1;0.0;0.0;0.0;0.0;0.6;0.6;66.4;332.4
1982;59.5;11.5;16.9;3.9;0.0;0.0;0.0;0.0;0.0;2.5;14.2;20.2;128.7
1983;17.6;130.4;178.5;27.4;0.1;0.0;0.0;0.0;0.0;0.0;0.1;227.3;581.4
1984;232.0;8.0;80.8;25.6;0.3;0.0;0.0;0.0;0.0;86.1;22.0;218.2;673.0
1985;100.0;25.6;17.2;13.5;0.0;0.0;0.0;0.0;0.0;0.6;0.0;7.9;164.8
1986;106.9;32.6;118.6;33.8;0.0;0.0;0.0;0.0;0.0;0.0;1.6;4.1;297.6
1987;35.3;33.5;26.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;18.5;116.7
1988;76.1;86.2;26.1;5.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;193.5
1989;45.1;197.2;152.9;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;405.1
1990;1.7;0.7;3.2;7.6;4.0;0.0;0.0;0.0;0.0;1.0;14.3;21.4;53.9
1991;11.9;20.7;126.1;0.0;0.0;0.0;0.0;0.0;0.0;11.7;12.2;0.0;182.6
1992;0.0;11.8;9.6;0.0;0.0;0.0;0.0;0.0;0.0;11.8;0.0;4.6;37.8
1993;63.7;40.4;123.3;0.0;0.0;0.0;0.0;0.0;0.0;1.5;4.2;26.6;259.7
1994;91.3;70.3;49.4;21.2;0.0;0.0;0.0;0.0;0.0;0.0;0.9;7.1;240.2
1995;26.0;8.7;44.4;0.0;5.3;0.0;0.0;0.0;0.0;0.2;9.4;33.9;127.9
1996;49.0;73.4;32.2;0.0;0.0;0.0;0.0;0.0;0.2;0.3;0.0;7.8;162.9
1997;22.7;36.9;7.1;0.0;0.0;0.0;0.0;0.0;6.4;5.3;23.0;90.3;191.7
1998;168.5;143.4;149.8;20.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.5;550.3
1999;94.9;341.2;89.5;0.0;0.0;0.0;0.0;0.0;0.0;23.6;0.0;83.8;633.0
2000;141.1;108.9;42.3;15.5;0.0;0.0;0.0;0.0;0.0;0.0;15.2;24.6;347.6
2001;76.2;67.3;94.8;50.8;4.8;0.0;0.0;0.0;0.0;18.2;45.8;5.8;363.7
2002;18.1;85.3;68.1;41.1;3.4;0.0;0.0;0.0;7.0;41.8;27.4;7.3;299.5
2003;20.4;25.1;98.8;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.2;243.9
2004;14.3;147.0;84.7;40.0;0.0;0.0;0.0;0.0;3.4;7.4;0.0;49.7;346.5
2005;52.4;77.2;41.6;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.1;260.8
2006;133.7;181.8;174.5;87.8;0.0;0.0;0.0;0.0;0.0;0.0;2.6;89.7;670.1
2007;54.0;29.6;199.9;54.9;0.0;0.0;0.0;0.0;0.0;4.2;0.0;15.1;357.7
2008;133.3;108.9;79.3;18.7;0.0;0.0;0.0;0.0;0.0;0.0;8.3;19.3;367.8
2009;88.2;87.6;114.6;8.2;0.0;0.0;0.0;0.0;0.0;19.8;20.6;17.0;356.0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
