Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;111.4;64.6;57.6;61.1;5.1;0.0;0.0;0.0;0.0;4.6;6.0;33.2;343.6
1965;55.4;82.8;69.8;10.5;2.6;0.0;0.0;0.0;3.8;13.7;6.7;24.8;270.1
1966;61.6;38.7;52.5;22.3;0.2;0.0;0.0;0.0;0.0;18.0;0.0;37.0;230.3
1967;77.3;147.7;97.1;17.2;3.7;0.0;0.0;0.0;2.1;15.2;4.3;8.4;373.0
1968;24.9;24.9;33.3;11.2;7.7;4.7;0.0;0.0;0.3;1.9;25.5;4.0;138.4
1969;11.4;54.6;73.3;26.3;0.0;0.0;0.0;0.0;0.9;18.1;24.1;55.2;263.9
1970;106.9;8.9;35.4;29.1;9.1;0.0;0.0;0.0;21.8;14.5;5.4;53.8;284.9
1971;57.4;72.6;116.0;27.4;0.0;0.0;0.0;0.0;0.0;6.6;1.2;43.0;324.2
1972;63.5;106.2;144.8;13.8;0.0;0.0;0.0;0.0;1.5;12.6;5.0;48.2;395.6
1973;82.3;80.8;58.7;5.7;0.0;0.0;0.0;0.0;33.9;8.3;7.5;56.9;334.1
1974;45.3;76.4;75.8;9.4;0.0;0.0;0.0;0.0;0.4;0.6;4.6;21.3;233.8
1975;33.4;59.0;118.3;8.9;6.2;0.8;0.0;0.0;1.3;7.0;12.4;40.1;287.4
1976;70.3;73.4;58.1;0.5;0.5;0.9;0.0;0.0;0.8;0.0;0.0;26.2;230.7
1977;32.9;69.5;37.8;2.7;5.9;0.0;0.0;0.0;2.5;0.6;28.7;26.2;206.8
1978;29.1;29.8;21.0;5.4;0.0;0.0;0.0;0.0;1.5;0.0;7.8;12.6;107.2
1979;15.1;43.2;65.5;0.0;0.0;0.0;0.0;0.0;0.0;3.2;0.9;58.5;186.4
1980;18.0;8.3;21.0;18.8;0.0;0.0;0.0;0.0;0.0;14.1;0.0;13.7;93.9
1981;62.0;43.4;72.8;0.0;0.0;0.0;0.0;0.0;0.0;4.2;1.5;33.9;217.8
1982;28.2;25.3;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.3;0.9;93.7
1983;9.5;62.0;169.2;25.9;0.0;0.0;0.0;0.0;0.0;1.1;9.9;32.7;310.3
1984;34.1;196.8;86.5;10.5;1.0;1.8;0.0;0.0;0.0;20.5;29.2;73.4;453.8
1985;17.9;55.7;67.7;8.7;2.2;0.0;0.0;1.6;2.7;1.7;23.2;53.5;234.9
1986;100.8;74.2;60.7;22.8;4.9;0.0;0.0;4.1;0.0;3.7;10.6;37.1;318.9
1987;113.0;48.5;45.8;0.0;0.0;0.0;0.0;1.2;0.2;0.0;0.0;32.7;241.4
1988;64.7;70.6;44.8;36.8;6.1;0.0;0.0;0.0;0.0;0.9;0.0;47.5;271.4
1989;91.4;73.9;86.9;5.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.1
1990;52.2;4.9;19.7;1.9;6.1;0.3;0.0;0.6;0.0;13.4;36.4;43.0;178.5
1991;12.7;60.6;116.4;11.7;2.1;0.0;0.0;0.0;0.0;17.9;4.4;4.4;230.2
1992;29.2;25.0;101.8;26.6;0.0;0.0;0.0;0.0;0.0;32.0;4.4;21.9;240.9
1993;98.8;158.9;147.4;50.4;0.0;0.0;0.0;0.0;0.0;24.0;40.0;98.9;618.4
1994;64.9;95.3;45.6;33.2;2.6;0.0;0.0;0.0;0.5;0.3;12.4;51.6;306.4
1995;62.6;31.5;61.5;35.9;0.0;0.0;0.0;0.0;4.5;8.9;34.0;39.8;278.7
1996;72.5;80.6;87.9;27.2;0.0;0.0;0.0;0.0;0.0;0.0;4.7;7.2;280.1
1997;45.9;50.7;9.4;3.9;0.0;0.0;0.0;0.0;0.0;7.3;14.3;49.4;180.9
1998;91.6;111.4;122.9;17.0;0.0;0.0;0.0;2.5;2.2;0.0;0.0;19.9;367.5
1999;57.2;163.3;54.3;24.4;0.0;0.0;0.0;0.0;4.0;19.1;19.3;30.1;371.7
2000;82.5;105.3;67.8;21.9;5.6;0.0;0.0;0.0;0.0;17.1;0.0;50.0;350.2
2001;116.8;65.1;110.2;14.9;0.0;0.0;0.0;0.0;0.0;1.9;41.4;2.2;352.5
2002;17.8;74.3;61.9;32.4;6.2;0.0;0.0;0.0;3.7;64.2;22.2;42.9;325.6
2003;32.3;46.0;64.1;15.7;0.0;0.0;0.0;0.0;0.0;0.0;0.7;86.1;244.9
2004;10.1;74.4;57.8;31.1;0.0;3.6;0.0;0.0;0.0;6.3;22.5;92.7;298.5
2005;69.7;28.9;63.1;8.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.7;223.3
2006;83.1;67.2;129.7;52.2;0.0;0.0;0.0;0.0;0.0;2.3;16.3;74.8;425.6
2007;73.6;60.4;143.4;30.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;26.9;338.3
2008;75.5;112.2;72.2;14.2;0.1;0.1;0.0;0.0;0.4;3.2;13.3;36.5;327.7
2009;105.5;98.9;130.6;32.3;0.6;0.0;0.0;0.0;0.0;17.7;37.2;51.4;474.2
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
