Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;69.3;145.9;161.4;40.7;17.4;0.0;0.0;0.1;20.3;14.0;30.3;49.9;549.3
1965;78.0;139.4;36.3;12.8;0.1;2.7;0.0;0.0;62.5;34.4;10.0;105.2;481.4
1966;149.3;93.1;158.6;72.3;0.2;0.8;0.0;0.3;0.2;42.8;5.5;96.3;619.4
1967;92.6;131.1;169.9;17.3;8.7;0.0;1.8;0.0;0.3;53.7;36.8;10.8;523.0
1968;72.4;133.1;29.6;4.4;3.5;0.1;0.0;0.1;6.6;4.8;12.9;9.7;277.2
1969;52.6;120.1;61.5;27.0;1.4;0.2;0.0;2.0;37.4;33.1;53.5;115.6;504.4
1970;99.7;43.7;71.0;48.5;9.6;0.0;0.0;0.2;39.3;8.0;32.3;48.6;400.9
1971;115.4;154.6;137.0;8.6;2.5;0.1;3.6;0.0;0.0;17.7;26.9;102.6;569.0
1972;108.8;154.7;170.0;61.6;0.7;0.0;0.0;0.0;3.8;35.4;7.7;71.5;614.2
1973;151.8;139.1;155.6;60.1;18.4;0.0;0.0;0.5;10.8;50.3;28.7;112.8;728.1
1974;130.7;153.5;148.2;34.5;1.0;0.3;0.1;0.2;7.5;24.3;51.7;32.2;584.2
1975;127.7;148.8;170.0;26.9;9.3;0.0;2.2;2.7;54.3;27.5;53.1;108.8;731.3
1976;96.5;98.9;34.1;32.1;50.4;0.9;0.0;0.0;11.8;8.3;4.7;27.1;364.8
1977;71.9;142.4;56.5;16.4;6.7;0.8;0.6;2.9;31.1;0.8;71.9;75.4;477.4
1978;72.5;150.3;143.8;5.3;0.0;9.4;0.0;1.7;43.1;25.0;31.9;12.5;495.5
1979;58.8;130.7;96.4;42.3;0.0;0.0;0.0;0.0;0.5;45.4;32.2;14.2;420.5
1980;128.7;84.2;90.4;39.0;0.2;0.2;0.0;2.8;0.7;55.2;139.5;107.9;648.8
1981;84.7;213.5;145.1;12.7;0.0;15.6;0.0;0.0;3.0;35.3;58.7;114.8;683.4
1982;95.3;194.5;32.4;23.5;2.3;0.1;0.3;1.7;30.5;48.2;42.5;53.1;524.4
1983;18.7;52.5;44.7;119.4;0.2;0.0;0.0;1.1;18.5;31.2;22.9;115.6;424.8
1984;88.5;213.9;133.9;29.3;0.7;0.4;0.4;0.0;0.7;21.3;44.7;115.6;649.4
1985;41.7;122.5;150.3;9.3;2.0;11.5;0.0;0.0;20.9;13.6;21.5;87.0;480.3
1986;123.9;140.1;87.3;38.2;0.9;5.1;15.0;11.1;5.8;9.2;8.0;64.3;508.9
1987;102.7;67.7;22.6;11.5;0.0;0.0;5.0;11.8;27.1;2.5;27.3;41.6;319.8
1988;76.8;116.1;96.4;63.3;18.0;1.2;0.0;4.0;19.1;0.0;8.8;65.7;469.4
1989;123.7;90.9;104.2;19.8;0.0;0.0;0.0;0.0;6.3;13.2;2.6;0.0;360.7
1990;49.1;18.3;0.0;15.1;6.1;0.0;0.0;0.0;0.0;4.9;85.6;79.9;259.0
1991;12.3;63.4;136.5;3.2;0.0;0.0;0.0;0.0;6.5;19.0;5.1;27.6;273.6
1992;14.1;27.3;37.7;32.3;0.0;0.0;0.0;0.0;0.0;45.8;19.0;22.0;198.2
1993;128.8;117.0;28.2;49.1;5.5;0.0;0.7;1.5;16.1;21.4;64.0;118.4;550.7
1994;102.4;172.7;120.6;53.0;8.7;3.9;0.5;8.7;18.7;15.3;46.3;60.8;611.6
1995;33.3;78.7;84.6;65.0;0.0;2.4;0.0;0.0;5.8;21.1;43.6;59.8;394.3
1996;49.7;112.7;62.8;42.0;4.4;0.0;0.0;0.0;4.2;19.6;13.2;26.1;334.7
1997;73.2;145.3;18.5;11.5;5.3;0.0;0.0;1.8;33.1;29.5;33.5;94.3;446.0
1998;120.0;123.0;109.5;29.2;0.0;1.2;3.1;2.2;26.9;41.7;34.9;46.8;538.5
1999;100.2;194.0;97.9;54.4;33.7;2.9;0.0;3.2;20.0;34.2;73.2;125.1;738.8
2000;140.9;135.9;215.9;13.1;17.6;0.0;0.0;8.4;10.6;62.5;28.2;154.3;787.4
2001;183.1;117.6;190.2;27.8;9.5;0.0;0.9;0.0;5.6;24.3;78.8;55.9;693.7
2002;93.6;106.1;121.3;55.2;19.3;3.2;1.9;0.7;22.9;43.5;66.3;93.1;627.1
2003;138.0;124.2;223.9;44.4;2.6;0.0;0.0;1.4;0.0;43.0;7.1;114.6;699.2
2004;38.6;105.7;78.3;24.8;11.4;9.5;3.0;0.0;25.7;65.5;77.3;150.4;590.2
2005;92.9;64.4;116.3;13.9;2.4;0.0;0.0;0.0;6.9;6.9;13.9;98.3;415.9
2006;117.7;101.8;207.0;45.1;0.0;2.8;0.0;8.3;10.5;33.8;69.4;111.7;708.1
2007;135.5;167.4;160.4;40.4;4.1;0.0;0.0;0.9;15.9;15.9;25.1;82.9;648.5
2008;139.3;116.8;84.8;24.0;0.0;0.0;0.0;0.0;0.9;31.7;33.8;102.5;533.8
2009;116.6;165.0;110.6;49.3;16.0;0.0;0.2;7.4;6.4;51.3;110.6;70.7;704.1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
