Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;1.9;9.9;9.6;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.1;29.0
1965;1.2;1.5;44.8;0.8;1.7;0.0;0.0;0.0;0.0;1.3;0.6;2.2;54.1
1966;8.7;1.0;13.1;0.0;1.5;0.0;0.0;0.0;0.0;22.6;0.0;0.0;46.9
1967;9.7;29.9;22.2;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.2;62.4
1968;11.7;0.0;0.4;0.0;1.1;0.0;0.0;0.0;0.2;0.0;4.3;0.2;17.9
1969;3.3;3.5;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.9;4.3;17.3
1970;28.2;5.9;9.3;0.0;0.0;0.0;0.0;0.0;10.8;1.5;1.5;0.0;57.2
1971;0.0;15.4;12.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;34.6
1972;14.5;9.5;33.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3;63.6
1973;11.4;0.0;27.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;4.2;45.6
1974;2.9;7.3;9.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;25.9
1975;2.8;6.8;5.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.7;20.1
1976;6.7;29.1;11.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.3;52.9
1977;8.2;11.3;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.5
1978;6.8;0.0;21.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.7
1979;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
1980;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
1981;1.0;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.8
1982;43.7;14.6;4.5;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6;70.6
1983;0.0;8.6;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.6
1984;0.0;17.4;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.4
1985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6
1986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.3;6.3
1987;12.4;0.7;0.5;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0
1988;17.9;9.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.3;39.7
1989;7.7;43.3;11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.7
1990;4.5;0.0;10.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.5;19.1
1991;0.0;1.8;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.8
1992;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
1993;0.5;2.0;3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6
1994;19.0;7.4;0.0;0.0;3.9;0.0;0.0;0.0;0.3;0.0;0.0;1.6;32.2
1995;7.5;0.0;2.5;1.1;0.5;0.0;0.0;0.0;0.2;0.7;2.1;0.0;14.6
1996;5.9;11.7;13.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;31.8
1997;3.0;4.3;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.6;0.9;13.4;22.8
1998;18.7;16.9;18.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;5.4;59.3
1999;8.8;57.0;2.3;0.4;0.0;0.0;0.0;0.0;0.2;0.2;0.0;1.3;70.2
2000;19.1;11.9;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;35.3
2001;12.7;12.1;12.0;1.3;0.0;0.0;0.0;0.0;0.0;0.1;1.2;0.0;39.4
2002;1.2;33.3;3.5;0.1;0.3;0.0;0.0;0.0;0.2;0.0;0.2;0.5;39.3
2003;0.5;7.0;29.8;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.4;53.1
2004;0.0;5.6;6.7;2.1;0.0;0.0;0.0;0.0;0.5;0.0;0.0;3.3;18.2
2005;1.8;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7;6.5
2006;10.9;16.8;8.7;0.6;0.0;0.0;0.0;0.0;0.0;0.2;1.4;6.2;44.8
2007;5.3;3.6;5.4;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.0;20.0
2008;12.7;15.0;17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;0.8;48.7
2009;17.9;29.5;10.9;0.8;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.1;65.2
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
