Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;41.2;193.0;214.8;14.4;5.5;0.0;0.0;0.0;0.0;0.2;2.7;22.5;494.3
1965;101.0;154.3;103.9;22.0;1.7;0.0;0.3;0.0;0.3;9.6;0.2;0.5;393.8
1966;29.6;19.6;110.8;3.3;5.3;0.0;0.0;0.0;0.0;23.2;0.1;5.1;197.0
1967;135.8;320.4;121.2;6.5;1.0;0.0;0.8;0.0;0.0;9.9;3.4;15.3;614.3
1968;0.1;11.6;23.9;14.3;6.2;0.2;0.0;0.0;0.1;1.3;2.1;5.3;65.1
1969;11.9;105.2;101.4;7.7;0.0;0.0;0.0;0.0;0.0;7.3;9.5;27.6;270.6
1970;185.5;86.2;20.4;11.8;0.0;0.0;0.0;0.0;21.2;5.0;9.7;7.9;347.7
1971;33.9;87.1;130.3;3.3;0.0;0.0;0.0;0.0;0.0;0.2;0.0;27.8;282.6
1972;38.7;118.1;304.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;14.2;477.0
1973;78.5;33.2;162.3;9.3;0.0;0.0;0.0;0.0;5.5;2.3;4.9;8.2;304.2
1974;19.0;130.9;121.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8;24.0;298.0
1975;10.0;53.0;105.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.3;227.5
1976;65.2;149.7;39.6;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;259.3
1977;34.5;209.5;109.2;17.7;0.0;0.0;0.0;0.0;0.0;0.0;9.8;40.1;420.8
1978;19.1;25.8;93.8;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.8;4.2;146.7
1979;2.5;11.5;155.8;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;174.6
1980;29.4;37.8;42.0;13.3;0.0;0.0;0.0;0.0;0.0;3.5;2.1;2.9;131.0
1981;37.1;121.7;179.8;4.4;0.4;0.0;0.0;0.0;0.0;0.0;1.7;40.8;385.9
1982;37.2;236.1;52.3;22.2;0.0;0.0;0.7;0.9;0.0;0.4;27.2;0.0;377.0
1983;67.8;75.1;345.0;4.3;5.8;0.0;0.0;0.0;0.0;0.3;18.0;83.9;600.2
1984;289.2;291.4;78.9;4.3;0.1;0.0;0.0;0.0;0.0;1.5;46.2;14.5;726.1
1985;29.5;52.4;92.7;4.5;6.5;0.0;0.0;0.3;0.0;0.0;19.1;69.7;274.7
1986;145.3;186.8;197.7;37.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.3;632.0
1987;31.1;21.5;118.7;7.4;0.0;0.0;0.0;0.0;0.0;0.0;0.9;85.4;265.0
1988;106.6;86.7;25.6;16.1;4.8;0.0;0.0;0.0;0.0;5.5;0.0;66.5;311.8
1989;206.4;235.0;202.1;44.3;0.0;0.0;0.0;0.0;0.0;14.0;0.0;5.4;707.2
1990;15.8;5.9;42.1;0.5;0.0;0.0;0.0;0.0;0.0;2.1;10.0;142.9;219.3
1991;64.9;7.2;169.7;4.8;0.5;0.0;0.0;0.0;0.0;3.1;32.3;0.6;283.1
1992;6.4;3.8;7.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;3.3;22.1
1993;13.1;219.3;111.3;19.6;1.7;0.0;0.0;0.0;0.0;0.0;0.3;41.9;407.2
1994;84.0;88.0;62.4;6.1;1.2;0.0;0.0;0.0;0.0;0.0;10.7;37.3;289.7
1995;41.6;32.5;63.2;10.4;0.0;0.0;0.0;0.0;0.0;1.9;40.1;23.0;212.7
1996;70.9;92.5;63.1;23.5;7.6;0.0;0.0;0.0;0.0;0.0;2.4;8.5;268.5
1997;40.8;41.4;21.3;10.1;0.0;0.0;0.0;1.5;9.2;10.6;21.2;62.1;218.2
1998;68.4;135.7;135.4;8.2;0.8;0.0;0.0;0.0;0.0;0.0;1.5;106.3;456.3
1999;46.8;113.5;50.0;33.0;6.2;0.0;0.0;0.0;0.6;13.2;10.0;27.0;300.3
2000;74.5;132.0;83.9;20.6;0.0;0.0;0.0;0.0;1.4;5.7;6.2;29.7;354.0
2001;80.7;86.6;102.5;46.2;0.0;0.0;0.0;0.0;0.0;0.6;26.2;1.3;344.1
2002;13.5;124.8;68.3;47.0;6.8;0.0;0.0;0.0;0.0;12.7;25.3;15.7;314.1
2003;24.3;31.3;54.9;0.0;0.0;0.0;2.9;0.0;0.0;2.2;1.0;80.8;197.4
2004;9.5;91.1;31.3;29.2;0.0;0.0;0.0;0.0;1.9;0.4;2.0;31.4;196.8
2005;29.0;54.0;51.8;4.3;0.0;0.0;0.0;0.0;0.0;0.6;0.0;42.3;182.0
2006;65.7;96.6;77.3;60.6;0.6;0.0;0.0;0.0;0.0;0.8;0.0;38.6;340.2
2007;22.4;53.3;107.8;52.2;0.0;0.0;0.0;0.0;0.0;1.2;10.9;18.4;266.2
2008;62.9;142.9;158.7;68.6;0.0;0.0;0.0;0.0;0.0;0.1;0.5;13.9;447.6
2009;106.2;134.4;145.9;44.1;0.4;0.0;0.0;0.0;0.0;9.9;10.4;45.0;496.3
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
