Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Total Anual
1964;0.1;0.3;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.5
1965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1968;0.0;0.0;0.0;0.0;0.0;0.7;0.3;0.0;0.0;0.0;0.0;0.0;1.0
1969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1971;0.1;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9
1972;0.0;0.0;0.0;0.0;0.0;6.5;3.1;0.0;0.0;0.0;0.0;0.0;9.6
1973;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
1974;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
1975;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1
1976;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
1977;0.1;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
1978;0.0;0.0;0.0;0.0;0.0;11.7;0.8;0.0;0.0;0.0;0.0;0.0;12.5
1979;0.2;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
1980;0.8;3.6;0.3;0.0;0.0;1.7;0.8;0.0;0.0;0.0;0.0;0.0;7.2
1981;0.0;0.0;0.6;0.0;0.0;1.2;1.5;0.0;0.0;0.0;0.0;0.0;3.3
1982;0.0;0.0;0.0;0.0;0.0;0.7;1.3;0.0;0.0;0.0;0.0;0.0;2.0
1983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1984;0.4;1.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4
1985;0.4;0.8;0.0;0.0;0.0;0.1;0.4;0.0;0.0;0.0;0.0;0.0;1.7
1986;0.8;2.6;0.1;0.0;0.0;1.1;0.2;0.0;0.0;0.0;0.0;0.0;4.8
1987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1988;0.0;0.0;0.0;0.0;0.0;0.7;0.1;0.0;0.0;0.0;0.0;0.0;0.8
1989;0.8;2.1;0.8;0.0;0.0;1.7;0.7;0.0;0.0;0.0;0.0;0.0;6.1
1990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1993;0.0;0.0;0.6;0.0;0.0;0.2;0.3;0.0;0.0;0.0;0.0;0.0;1.1
1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1996;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
1997;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1999;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2001;0.0;0.0;0.0;0.0;0.0;2.3;0.4;0.0;0.0;0.0;0.0;0.0;2.7
2002;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
2003;0.0;0.0;0.0;0.0;0.0;1.1;0.9;0.0;0.0;0.0;0.0;0.0;2.0
2004;0.0;0.0;0.2;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.5
2005;7.7;4.1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.2
2006;0.5;1.4;0.0;0.0;0.0;0.4;0.2;0.0;0.0;0.0;0.0;0.0;2.5
2007;0.2;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009;0.1;0.1;2.3;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;2.8
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
